('2018-04-06 11:33:16.536155', 1523028796536154997, 'Subject', 'vUgefal', 'EVENT_EXECUTE', 'File', '/tmp/vUgefal', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 12:04:57.686114', 1523030697686113765, 'Subject', 'vUgefal', 'EVENT_SENDTO', 'Netflow', '139.123.0.113:80', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:43:04.976143', 1523029384976142609, 'Subject', 'vUgefal', 'EVENT_SENDTO', 'Netflow', '61.167.39.128:80', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:47:34.606136', 1523029654606135739, 'Subject', 'vUgefal', 'EVENT_OPEN', 'File', '/etc/passwd', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 12:04:52.046111', 1523030692046111295, 'Subject', 'vUgefal', 'EVENT_WRITE', 'File', '/var/log/devc', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 12:04:57.386112', 1523030697386112131, 'Netflow', '139.123.0.113:80', 'EVENT_RECVFROM', 'Subject', 'vUgefal', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:59:30.536122', 1523030370536121873, 'Subject', 'nginx', 'EVENT_WRITE', 'File', '/var/log/nginx-error.log', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:22:53.276168', 1523028173276168307, 'Subject', 'nginx', 'EVENT_SENDTO', 'Netflow', '78.205.235.65:80', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:20:20.296174', 1523028020296173816, 'Subject', 'nginx', 'EVENT_WRITE', 'File', '/var/log/nginx-access.log', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:20:12.186179', 1523028012186179155, 'Subject', 'nginx', 'EVENT_WRITE', 'Netflow', '81.49.200.166:44623', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:22:53.596169', 1523028173596169278, 'Subject', 'nginx', 'EVENT_WRITE', 'Netflow', '81.49.200.166:43530', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:31:49.886158', 1523028709886158284, 'Subject', 'nginx', 'EVENT_WRITE', 'File', '/tmp/vUgefal', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:31:53.046157', 1523028713046157350, 'Subject', 'nginx', 'EVENT_OPEN', 'File', '/etc/passwd', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:22:53.346171', 1523028173346171381, 'Netflow', '78.205.235.65:80', 'EVENT_RECVFROM', 'Subject', 'nginx', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:20:12.096172', 1523028012096172059, 'Netflow', '81.49.200.166:44623', 'EVENT_RECVFROM', 'Subject', 'nginx', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:22:53.276168', 1523028173276168307, 'Netflow', '81.49.200.166:43530', 'EVENT_RECVFROM', 'Subject', 'nginx', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-08 18:58:52.385318', 1523228332385318451, 'Subject', 'nginx', 'EVENT_WRITE', 'File', '/var/log/nginx-error.log', '2018-04-08 18:58:33.325322222~2018-04-08 18:58:59.405327117_0')
('2018-04-08 18:58:52.385318', 1523228332385318451, 'Subject', 'nginx', 'EVENT_WRITE', 'File', '/var/log/nginx-access.log', '2018-04-08 18:58:33.325322222~2018-04-08 18:58:59.405327117_0')
('2018-04-09 16:25:56.943593', 1523305556943592868, 'Subject', 'nginx', 'EVENT_WRITE', 'File', '/var/log/nginx-error.log', '2018-04-09 13:22:42.053839590~2018-04-09 16:25:56.943592868_0')
('2018-04-09 16:25:56.943593', 1523305556943592868, 'Subject', 'nginx', 'EVENT_WRITE', 'File', '/var/log/nginx-access.log', '2018-04-09 13:22:42.053839590~2018-04-09 16:25:56.943592868_0')
('2018-04-10 17:01:47.651623', 1523394107651622601, 'Subject', 'nginx', 'EVENT_WRITE', 'File', '/var/log/nginx-error.log', '2018-04-10 14:48:03.691792880~2018-04-10 17:01:47.651622601_0')
('2018-04-10 17:01:47.651623', 1523394107651622601, 'Subject', 'nginx', 'EVENT_WRITE', 'File', '/var/log/nginx-access.log', '2018-04-10 14:48:03.691792880~2018-04-10 17:01:47.651622601_0')
('2018-04-11 15:08:32.659834', 1523473712659834179, 'Subject', 'nginx', 'EVENT_WRITE', 'File', '/var/log/nginx-error.log', '2018-04-11 15:08:32.359835172~2018-04-11 22:11:00.217464698_0')
('2018-04-11 15:08:32.659834', 1523473712659834179, 'Subject', 'nginx', 'EVENT_WRITE', 'File', '/var/log/nginx-access.log', '2018-04-11 15:08:32.359835172~2018-04-11 22:11:00.217464698_0')
('2018-04-11 15:13:12.129831', 1523473992129831021, 'Subject', 'nginx', 'EVENT_OPEN', 'File', '/etc/passwd', '2018-04-11 15:08:32.359835172~2018-04-11 22:11:00.217464698_0')
('2018-04-12 16:04:11.296026', 1523563451296025541, 'Subject', 'nginx', 'EVENT_WRITE', 'File', '/var/log/nginx-error.log', '2018-04-12 16:03:57.226024531~2018-04-12 16:04:11.296025541_0')
('2018-04-12 16:04:11.296026', 1523563451296025541, 'Subject', 'nginx', 'EVENT_WRITE', 'File', '/var/log/nginx-access.log', '2018-04-12 16:03:57.226024531~2018-04-12 16:04:11.296025541_0')
